Dst_bytes,Flag,Root_shell,Su_attempted,Dst_host_count,Dst_host_srv_count,Dst_host_same_srv_rate,Dst_host_diff_srv_rate,Dst_host_same_src_port_rate,Dst_host_srv_diff_host_rate,Class
0.011491,0.0021095,0.00063463,0.00064018,0.018826,0.021654,0.087381,0,0.0069068,0,4
0,0,0.0088848,0.00032009,0.10074,0.00058524,0.00087381,0.017974,0.019339,0,2
0,0.068683,0.00063463,0.00064018,0.0010176,0.0011705,0.087381,0,0.13814,0,3
0.094114,0,0.16215,0.16357,0.080392,0.0076081,0.0069905,0.0039943,0.011051,0,1
0.019607,0.043251,0.00095194,0.00096027,0.015773,0.14924,0.087381,0,0.0041441,0.014528,0
0,0,0.00031731,0.00032009,0.033582,0.0011705,0.0017476,0.19971,0.0027627,0.29056,2
0,0.067127,0.00031731,0.00032009,0.00050881,0.047405,0.087381,0,0.13814,0.0058113,3
0.019151,0.0073539,0.0057116,0.0057616,0.0091586,0.063791,0.087381,0,0.0082881,0.014528,0
0.094114,0,0.16215,0.16357,0.12619,0.06028,0.0367,0.0019971,0.058017,0,1
0,0,0.040616,0.00064018,0.12975,0.0011705,0.00087381,0.05592,0.069068,0,2
0.094114,0,0.16215,0.16357,0.11601,0.048575,0.031457,0.0019971,0.049729,0,1
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.014756,0.016972,0.087381,0,0.0041441,0,4
0,0.069862,0.00063463,0.00064018,0.0010176,0.04799,0.087381,0,0.13814,0.0058113,3
0.094114,0,0.16215,0.16357,0.12975,0.066132,0.038448,0.0019971,0.06078,0,1
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.0061057,0.0070229,0.087381,0,0.011051,0,4
0.02444,0.02786,0.00031731,0.00032009,0.12975,0.0011705,0.00087381,0.0039943,0,0,3
0.094114,0,0.16215,0.16357,0.12975,0.077837,0.045438,0.0019971,0.07183,0,1
0.021978,0.0030523,0.00031731,0.00032009,0.0071234,0.087201,0.087381,0,0.0096695,0.011623,0
0.011399,0.0021095,0.00063463,0.00064018,0.0040705,0.0046819,0.087381,0,0.016576,0,4
0,0,0.018404,0.00064018,0.11601,0.0011705,0.00087381,0.02796,0.034534,0,2
0.023346,0.015002,0.0053943,0.0054415,0.037652,0.12232,0.087381,0,0.0013814,0.0087169,0
0.23966,0.04549,0.00031731,0.00032009,0.0010176,0.0011705,0.087381,0,0.069068,0,3
0.2123,0.053634,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0,0,0.00031731,0.00032009,0.018317,0.0011705,0.0026214,0.19971,0.0041441,0.29056,2
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0.021249,0.0030052,0.00063463,0.0025607,0.027476,0.11061,0.087381,0,0.0027627,0.0087169,0
0.094114,0,0.16215,0.16357,0.12975,0.10125,0.059419,0.0019971,0.093932,0,1
0.011491,0.0021095,0.00063463,0.00064018,0.0071234,0.0081934,0.087381,0,0.0096695,0,4
0,0,0.00031731,0.00032009,0.0035617,0.0011705,0.012233,0.19971,0.019339,0.29056,2
0.02061,0.0082259,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0,0,0.015231,0.00064018,0.11092,0.0011705,0.00087381,0.023966,0.03039,0,2
0.094114,0,0.16183,0.16325,0.090569,0.019313,0.016602,0.0039943,0.026246,0,1
0,0,0.00031731,0.00032009,0.028493,0.0011705,0.0017476,0.19971,0.0027627,0.29056,2
0.094114,0,0.16215,0.16357,0.12975,0.14924,0.087381,0,0.13814,0,1
0,0,0.00031731,0.00032009,0.013229,0.0011705,0.0034953,0.19971,0.0055254,0.29056,2
0.1429,0.03367,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0,0,0.0019039,0.0016004,0.0025441,0.0035115,0.087381,0,0.027627,0.095886,1
0,0,0.00031731,0.00032009,0.019335,0.00058524,0.0026214,0.19971,0.0041441,0,2
0.025626,0.015332,0.00031731,0.00032009,0.00050881,0.0058524,0.087381,0,0.13814,0.087169,3
0.019333,0.015427,0.00063463,0.0032009,0.010685,0.14924,0.087381,0,0.0069068,0.014528,0
0,0,0.02475,0.00064018,0.12619,0.0011705,0.00087381,0.033951,0.042822,0,2
0.011491,0.0021095,0.00031731,0.00032009,0.015773,0.018142,0.087381,0,0.0041441,0,4
0.027541,0.1046,0.00031731,0.00032009,0.00050881,0.00058524,0.087381,0,0.13814,0,3
0.019972,0.015757,0.0019039,0.0019205,0.019844,0.022824,0.087381,0,0.0041441,0,0
0,0,0.005077,0.0048013,0.0076322,0.0093639,0.087381,0,0.0096695,0.034868,1
0.011491,0.0021095,0.00031731,0.00032009,0.012211,0.014046,0.087381,0,0.0055254,0,4
0.0082076,0.0027459,0.00031731,0.00032009,0.12975,0.0011705,0.00087381,0.0039943,0,0,3
0.011491,0.0021095,0.00031731,0.00032009,0.015264,0.017557,0.087381,0,0.0041441,0,4
0.026812,0.046303,0.00031731,0.00032009,0.12975,0.002341,0.0017476,0.0039943,0,0,3
0.023711,0.021649,0.0034904,0.003521,0.012211,0.093053,0.087381,0,0.0055254,0.011623,0
