attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,target
0.63158,0,0.94737,0,0.10526,0.31579,0.15789,0.78947,0
0.26316,0.052632,0.36842,0.94737,0.10526,0.21053,0.21053,0.94737,0
0.57895,0.84211,0.15789,0.78947,0.21053,0.21053,0.15789,0.84211,1
0,0.84211,0.10526,0.89474,0.15789,0.84211,0.42105,0.15789,1
0.15789,1,0.15789,0.21053,0.89474,0.15789,0,0.89474,0
0.84211,0.26316,0.73684,0.84211,0.21053,0.73684,0.10526,0.73684,0
0.94737,0,0.15789,0.31579,0.052632,1,0.31579,0.94737,1
0.63158,0.15789,0.84211,0.21053,0.73684,0.84211,0.21053,0.78947,0
0.31579,0.15789,0.78947,0.73684,0.10526,0.21053,0.15789,0.052632,0
0.68421,0.68421,0.73684,0.15789,0.89474,0.73684,0.21053,1,0
0.47368,0.94737,1,0.31579,0.94737,0.26316,1,0.89474,0
0.68421,0.42105,0.89474,0.31579,0.10526,0.84211,0.78947,0.15789,1
0.89474,0.36842,0.26316,0.31579,0.21053,0.94737,0,0.84211,1
0.42105,0.68421,0.73684,0.89474,0.15789,0.89474,0.78947,0.10526,0
1,0.21053,0.15789,0.21053,0.15789,0.15789,0.73684,0.052632,1
0.31579,0.63158,0.68421,0.57895,0,0.21053,0.89474,0.78947,0
0,0.89474,0.10526,0.47368,0.42105,0.94737,0.15789,0.052632,1
0.15789,0.21053,0.73684,0.10526,0.21053,0.84211,0,0.21053,1
0.68421,0.73684,0.31579,0.68421,0.84211,0.31579,0.84211,0.84211,0
0.94737,0.89474,1,0.47368,0.47368,1,0.89474,0.94737,1
0.63158,0.94737,0,0.15789,0.73684,0.15789,0.15789,0.78947,0
0.84211,0,0.89474,0.31579,0.26316,0.15789,0.36842,0.10526,1
0.78947,0.94737,0.15789,0.21053,0.15789,0.26316,0.26316,0.89474,1
0.68421,0.73684,0.15789,0.78947,0.42105,0.21053,0,0.63158,1
0.94737,0.63158,0.42105,0.10526,0.89474,0.21053,0.94737,0.84211,0
0.94737,0.63158,0.15789,0.21053,0.15789,0.15789,0.73684,0.052632,1
0.63158,1,1,0.73684,0.10526,0.78947,0.63158,0.57895,0
0.94737,0.68421,0.15789,0.73684,0.15789,0.15789,0.78947,0,0
0.052632,0.26316,0.89474,0.10526,0.15789,0.84211,0.73684,0.26316,1
0.052632,0.36842,0.94737,0.10526,0.21053,0.21053,0.94737,0.94737,0
